"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\image_container.dart", "Dart", 32, 0, 3, 35
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\image_pick_dialog.dart", "Dart", 81, 0, 4, 85
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\image_picker.dart", "Dart", 11, 0, 5, 16
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\image_text_container.dart", "Dart", 66, 1, 7, 74
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\info_box.dart", "Dart", 52, 0, 4, 56
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\info_edit_box.dart", "Dart", 133, 0, 4, 137
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\membership_card.dart", "Dart", 203, 1, 5, 209
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\page_view.dart", "Dart", 57, 1, 4, 62
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\snack_bar.dart", "Dart", 9, 0, 2, 11
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\text_button.dart", "Dart", 27, 0, 4, 31
"c:\Users\Jeet\App Projects\find_easy\lib\widgets\text_form_field.dart", "Dart", 118, 0, 6, 124
"Total", "-", 13669, 521, 633, 14823
